agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAd_Bm1dpi_a	polyAd_Bm1dpi_b	polyAd_Bm2dpi_a	polyAd_Bm2dpi_b	polyAd_Bm3dpi_a	polyAd_Bm3dpi_b	polyAd_Bm4dpi_a	polyAd_Bm4dpi_b	polyAd_Bm8dpi_a	polyAd_Bm8dpi_b	polyAd_Bm20dpiM_a	polyAd_Bm20dpiM_b	agss_Bm24dpiF_a	polyAd_Bm24dpiF_a	polyAd_Bm24dpiF_b	polyAd_BmAM_a	polyAd_BmAM_b	agss_BmAF_b	agss_BmAF_c	polyAd_BmAF_a	polyAd_BmAF_b	polyAd_BmAF_c	polyAd_BmAF_d	polyAd_BmEm_a	polyAd_BmEm_b	polyAd_BmIMF_a	polyAd_BmIMF_b	polyAd_BmMMF_a	polyAd_BmMMF_b
gene169	7.83	579.9	151.39	463.56	3416.96	2873.32	174.87	139.39	132.85	52.3	155.11	213.94	122.85	231.66	331.72	255.65	60.89	51.09	18369.6	100.35	212.56	37.12	14.31	14388.01	13695.19	8.01	5.06	12.68	4.04	5.9	6.06	64.37	13.51	30.86	16.53
gene17	827.11	2394.71	136.75	418.48	1270.74	1164.79	97.62	62.54	75.23	40.97	168.69	159.66	256.38	217.47	491.96	403.2	429.83	260.17	100255.77	521.12	645.7	84.56	63.54	68671.85	67592.38	40.66	23.08	65.44	41.71	33.61	63.06	84.4	68.87	66.15	10.66
gene170	2223.73	2078.36	728.29	3036.53	6402.05	9481.59	328.61	213.6	230.81	164.96	619.49	662.53	918.44	637.77	1467.54	1173.49	555.89	469.02	116790.62	948.39	1011.71	297.5	141.75	90658.68	63306.23	70.98	69.22	88.48	75.55	41.52	88.13	170.9	121.66	145.59	84.41
gene171	0	4.43	0	49.4	106.37	119.25	11.45	4.26	11.55	2.97	5.65	0	9.45	12.49	25.87	13.16	8.43	3.37	1073.27	8.76	9.15	2.36	0	1007.4	978.83	0.34	0	0	0	0	0	0	0	0	0
gene172	1.8	8.32	29.14	112.06	135.57	255.08	5.52	6.04	2.19	5.76	19.15	9.2	15.68	13.88	44.01	34.68	22.81	9.39	3022.85	19.77	28.8	6.35	0.23	2741.34	2293.06	2.02	4.04	4.04	2.02	0	0	0.48	2	6.06	2.87
gene173	0	0	8.07	0	0	7.88	24.06	23.05	4.11	8.1	14.75	19.73	16.15	20.28	31.71	41.84	18.22	13.66	40.83	18.53	29.36	0	3.19	31.26	13.13	0	0	0	3.74	1.89	3.62	5.19	3.94	1.84	2.28
gene174	0	0	0	0	0	0	33.57	29.51	21.21	8.13	30.68	17.17	25.14	28.13	56.98	44.93	12.13	15.71	0	21.44	45.65	14.79	5.62	0	0	0.53	0.2	3.4	1.25	3.82	0.12	4.74	3.49	7.08	3.59
gene175	0	0	0	0	0	0	34.56	38.57	27.47	8.53	18.67	29.76	38.49	35.9	57.44	56.28	43.88	18.99	0	27.85	61.34	7.34	2.6	0	0	1.48	3.82	0.57	0.75	1.77	3.9	6.53	6.47	13.62	3.25
gene176	0	0	0	0	0	0	31.88	9.38	2.43	4.62	4.8	7.48	10.08	13.44	24.98	20.98	9.83	3.44	0	4.84	9.54	0	0.09	0	0	0	0	1.63	0	0	0	5.07	3.67	7.73	0
gene177	165.89	787.28	91.15	240.68	549.11	911.85	174.6	97.79	69.31	25.4	123.73	115.94	130.8	125.2	331.19	251.74	117.87	93.28	14574.41	156.87	140.97	22.88	12.12	9311.34	8585.23	11.4	8.88	21.3	7.86	4.04	12.64	37.12	22.83	41.91	20.81
gene178	10.6	4.69	10.26	1.62	72.47	422.01	35.47	30.5	20.9	13.2	61.57	63.78	37.84	54.44	87.29	66.89	50.17	38.24	4808.14	46.09	130.07	26.49	4.22	3996.17	6084.03	7.21	3.8	22.09	7.77	2.96	6.14	17.09	2.4	16.27	6.45
gene179	47.64	245.88	233.03	1135.55	5439.44	4149.68	529.14	571.29	320.36	249.72	772.82	991.39	402.41	376.55	553.46	597.7	439.68	476.62	121705.15	728.44	674.48	311.62	184.24	144947.11	152890.38	66.22	109.22	156.64	61.97	10.96	25.96	81.59	54	77.26	50.39
gene18	10.73	402.36	135.31	347.32	624.7	2234.34	82.24	63.59	95.43	34.71	105.01	125.7	109.52	77.01	301.47	263.47	149.38	114.04	36594.53	183.03	253.12	14.51	21.97	24369.45	20023.23	15.49	2.51	25.28	27.42	8.44	13.15	47.82	22.29	54.28	20.02
gene180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.06	0	1.26	108.2	0	0	0	0	86.04	204.07	0.87	0	0	0.14	0	0	0	0	0	1
gene181	2	0	0	0	0	112	3.74	0	0	0	0	0	0	0	9.36	6.94	0	8.08	328.95	0.17	1.74	0	0	404.4	801.07	3.19	0	0	3.2	0	0	2	0	0	0.67
gene182	0	0	0	0	0	0	0	0	0	0	0	2.02	0	0	5.22	2.66	2.02	0	471.38	1.67	0.76	0	3.96	353.93	526.77	1.05	0	0	0	0	0	0	0.32	1.44	2
gene183	9.85	8	55.04	71.43	1047.54	901.79	39.5	50.5	19.45	12	25.78	32.93	25.24	25.67	40.4	44.37	50.59	26.21	12501.08	82.55	88.3	12.09	0	5668.89	4853.62	6.06	1.98	10.1	2.02	6.06	18.17	9.66	4	16.98	4.05
gene184	1066.15	34.83	114.71	39.92	712.79	1226.6	4.41	16.56	15.93	8	5.67	30.12	16.01	19.04	38.16	40.97	11.95	19.25	3684.03	22.93	31.32	5.81	2.02	1906.51	1871.38	0.26	2.02	3.4	4.04	3.7	7.05	17.9	2.25	8.02	5.89
gene186	0	2	54	3.06	163.54	62	49.64	29.9	20.2	2	26.16	21.65	15.1	10.36	60.48	34.3	21.64	11.86	4015.07	42.49	25.8	15.98	4.04	1965.23	3032.27	4.04	0	5.33	4	4.45	4.47	4	3.23	14.09	3.73
gene187	1024.13	4651.37	634.89	3099.43	8778.86	8657.47	668.49	331.14	512.92	197.82	770.88	919.57	959.58	826.1	2022.48	1614.56	407.59	365.8	58549.77	552.18	974.32	182.89	103.4	44928.34	32445.83	53.45	39.58	51.61	33.67	32.66	42.82	191.51	143.48	120.35	65.85
gene188	1656.86	2718.72	342.78	1862.62	5129.74	6856.3	368.59	210.2	206.03	103.34	243.31	314.86	332.17	346.55	893.81	613.45	282.42	118.67	48115.92	402.74	438.97	96.4	42.98	29538.54	20857.61	18.6	18.76	35.67	14.68	17.17	29.71	107.6	87.25	65.93	65.87
gene189	1.9	5.9	1.9	207.8	303.42	512.43	19.38	10	6.31	7.12	4.91	15.22	15.68	23.63	32.11	28.39	2.02	19.36	1665.17	15.54	24.59	4.5	5.48	2367.8	2688.56	2.01	0	2.02	0	2.01	1.99	2	7.97	11.98	1.51
gene190	0	55.07	0	0.44	0	0	10.86	8.76	1.59	6.07	3.51	1.88	7.5	12.18	15.58	13.38	11.59	11.69	108.42	5.37	22.5	0	2.29	53.3	87.5	0	1.51	0.05	0	0	2.22	6.85	5.29	6.15	1.42
gene191	0	0	0	0	0	79.27	5.99	3.59	12.46	0	3.64	4.71	5.82	3.2	24.09	11.26	3.52	5.35	972.84	11.5	3.92	0	4.04	685.37	387.96	0	0	0	0	0	1.9	2.2	2.67	4.93	1.9
gene192	1419.72	2735.95	510.73	1842.03	6685.3	7758.32	456.51	410.54	220.48	218.91	469.04	553.12	609.63	575.44	1423.87	972.52	418.77	307.55	96172.25	625.83	784.69	90.74	77.6	47538.56	38740.16	44.8	25.19	48.46	37.92	36.19	54.11	162.05	141.77	122.04	88.55
gene193	659.72	1136.65	480.36	1243.4	5109.14	4381.24	306.93	190.5	164.04	116.65	385.16	417.46	435.35	415.99	1189.13	737.56	101.74	108.78	21466.78	135.53	401.83	65.38	22.51	16562.56	16816.01	24.73	15.07	39.41	22.28	6.75	10.37	81.77	64.55	50.75	51.99
gene194	4357.15	6102.44	1354.39	2576.52	11888.75	14793.66	540.03	305.59	370.65	176.32	659.39	862.21	887.27	876.62	1913.85	1520.1	457.07	256.85	77545.91	673.71	824.63	441.23	231.75	88307.21	34212.3	72.95	96.27	65.12	44.47	29.44	83.1	257.97	251.79	148.32	156.84
gene195	1466.24	1441.77	559.52	1377.13	3257.11	5559.48	536.43	454.68	470.33	185.35	292.4	405.31	454.83	350.32	781.67	599.63	270.65	206.21	55741.41	432.46	519.66	43.79	25.19	25804.74	20861.07	18.29	23.89	37.94	17.97	26.56	44.72	138.78	51.06	110.31	59.17
gene196	2058.11	1193.23	391.33	895.99	3129.41	4783.99	444.08	348.62	365.62	160	347.65	395.23	294.63	421.47	878.72	614.73	249.34	201.17	42430.1	428.16	479.19	92.05	40.47	26310.07	18925.09	14.08	28.59	29	9.97	26.54	36.59	105.08	42.97	82.85	51.95
gene197	890.16	2214.72	309.97	658.5	3012.87	3934.29	152.5	84.84	90.3	51.58	164.39	169.23	174.13	152.19	379.56	330.77	219.82	128.49	8453.72	220.44	320.92	136.72	82.98	11418.72	8935.48	28.63	56.45	30.24	34.73	16.14	12.12	49.51	23.86	38.13	18.62
gene199	0	0	0	0	12.33	0	0.28	0.91	2.47	0	0.71	0.82	6	0	10.51	4.79	0	1.67	137.92	1.54	0	0	0	199.88	424.97	2.02	0	0	0	0.61	0	0.41	0	0	0
gene20	10	8	111.95	96	320	486.37	28.57	24.31	9.82	0	33.07	10.5	24.65	28.19	34.08	50.82	16.16	16.07	1926.44	12.1	19.96	2.02	0	987.62	2010.95	3.01	0	0	2.02	0	0	10	4	4	4
gene200	1.28	1.74	0	0	31.21	138.6	15	14.33	7.48	0.74	12.82	12.07	10.53	7.53	43.69	13.17	3.17	0.81	1045.77	8.25	23.06	2.53	3.92	1063.25	1694.39	1.81	3.95	5.61	3.85	0	1.93	2.82	11.57	3.51	3.76
gene201	2227.34	2360.3	672.24	1753.19	7736.13	10471.61	189.15	153.05	119.88	122.69	580.1	650.18	891.45	775.83	1862.52	1276.04	547.87	351.93	93154.97	704.52	992.2	216.75	101.84	50140.72	42179.79	60.01	42.44	42.13	32.35	43.71	64	107.92	97.08	55.37	133.52
gene202	8	622	191.92	543.97	1496	2115.12	37.84	24	21.29	20	31.02	36.32	46.4	65.04	194.87	142.05	61.92	24.46	12490.37	71.81	120.79	8.63	0	8690.77	5838.53	7.71	13.63	6.06	2.02	12.11	6.92	21.95	17.94	19.72	12
gene203	6	191.97	132	242	991.36	797.88	37.41	11.55	47.75	5.95	49.04	67.58	45.02	33.21	112.86	135.36	32.8	25.97	4958.89	25.26	51.78	11.87	5.52	3799.38	3524.39	6.36	2.02	4	2.02	0	4.04	17.22	15.94	15.34	3.77
gene204	1.91	0	0	93.46	5.74	0	9.5	13.87	0	2.06	6.03	11.39	18.77	6.06	19.27	24.08	5.25	7.61	1923.6	15.36	9.7	1.95	0	1186.84	823.26	2.02	3.63	0	1.84	0	0	4.79	2	7.31	3.79
gene205	0	0	0	0	36.3	0	2.78	0	1.89	2.76	0	5.05	0.28	0	0	6.12	0	2.66	351.58	1.23	1.92	0	0	533.42	337.04	0	0	1.78	0.36	0	0	3.52	0	2.17	0.29
gene206	575.89	4.47	0	0	479.3	346.82	23.95	13.62	12.23	5.33	3.85	22.12	4.57	23.82	31.67	39.44	20.77	13.46	6206.69	25.18	34.91	2.92	0	3059	3029.44	0	2.02	3.43	1.19	3.29	0	10.86	10.43	19.97	6.01
gene207	0.79	0	3.37	0	180.75	70.62	20.4	24.9	18.48	4.61	13.55	14.3	15.34	21.6	22.43	45.75	15.8	5.39	1328.23	17.62	13.38	8.51	0	1176.4	1544.36	1.87	2.01	3.14	3.15	4.04	0.93	7.03	3.13	5.14	0.95
gene208	9.7	9.82	1.45	63.83	376.21	1017.11	27.45	22.25	13.58	5.68	28.98	24.49	38.38	31.32	71.9	69.74	30.48	23.04	4356.11	20.57	40.07	5.9	3.9	2912.74	4205.21	3	0.97	2.27	1.26	1.28	1.37	18.52	11.7	16.35	8.18
gene21	6	525.18	94.25	565.17	1721.17	1495.52	85.33	51.68	47.2	19.9	51.96	59.75	50.29	51.91	150.66	136.16	26.1	18.18	4722.85	22.21	67.79	12.04	6.06	3265.25	3189.77	2.02	0	12.12	1.99	2.02	2.02	23.86	6	14	14
gene210	143.95	1037.68	175.91	804.51	1778.66	4066.81	235.86	192.14	144.55	61.87	182.78	274.97	297.95	210.98	537.31	470.74	194.56	117.33	23001.21	197.61	281	57.39	18.08	15261.93	12082.07	10.1	4.04	15.54	16.15	14.07	16.12	73.74	37.61	33.29	39.24
gene212	9.34	28.95	8.57	99.8	923.11	805.95	41.9	34.43	39.45	19.17	64.61	57.95	22.45	51.57	135.39	54.5	45.44	5.41	3857.56	18.49	56.86	6.02	2.02	2717.22	2514.19	0	5.98	4.04	0	2.02	3.33	13.68	3.67	15.62	7.52
gene213	766.26	1575.42	403.81	1611.46	6273.2	8508.7	243.97	227.58	163.39	110.15	331.59	262.13	214.42	263.01	657.25	436.03	94.01	84.71	29271.52	144.81	364.34	56.93	14.13	19480.75	20414.91	18.05	18.14	14.73	9.63	8.38	38.22	89.74	49.04	120.87	28.38
gene214	3.55	1017.13	113.03	363.76	1635.93	1674.13	29.44	23.96	30.22	25.42	55.3	34.04	29.14	51.33	91.4	59.36	40.62	21.94	3929.34	21.48	50.87	7.48	0	3789.88	2478.5	8.08	2.02	9.44	4.49	5.71	2.17	28.25	12.71	23.83	3.59
gene217	1506	673.11	350	878	2138.33	5413.38	282.74	170.1	156.76	69.68	212.66	179.12	215.19	218.56	461.17	415.47	144.28	134.54	40226.11	267.43	283.09	83.56	24.05	28309.89	28005.91	25.5	16.16	26.2	16.07	22.22	16.09	157.38	68	120	36.28
gene218	12.59	522.74	209.18	676.16	1868.89	1999.91	172.24	87.65	62.91	42.43	108.78	142.77	138.46	100.95	276.72	300	206.11	142.73	33739.64	255.76	197.46	75.57	30.08	32749.05	19924.71	24.2	15.33	22.41	17.19	6	23.85	73.58	50.28	66	24.01
gene219	2.44	353.35	39.32	409.64	411.52	1153.1	37.86	43.94	15.45	5.37	34.92	26.96	31.88	24.86	71.37	63.12	35.61	28.58	11514.72	46.97	38.18	5.02	2.02	6730.51	5448.23	5.91	1.62	4.62	0.9	5.84	1.79	35.3	10.66	31.5	8.66
gene22	321.66	593.72	68	405.96	514.58	1144.59	86.72	85.87	45.87	49.53	56.91	61.56	118.09	112.25	216.61	225.46	76.15	56.37	15670.53	79.83	124.41	10.83	11.44	6743.19	5117.04	0	0	4.04	6.02	3.77	10.01	40.84	23.53	32.17	9.27
gene220	2.19	33.63	29.29	335.62	287.92	1000.05	83.04	56.65	27.1	42	63.42	49.07	41.08	75.01	151.3	127.2	52.22	36.68	7714.64	48.34	103.6	38.38	6.04	4930.94	3808.28	6.06	0.37	4.04	2.02	6.3	8.3	41.74	12.02	22.39	9.64
gene221	21.14	1177.14	165.37	834.05	2210.68	2655.11	89.62	77.06	55.99	42.14	92.7	90.35	66.14	82.88	259.14	196.66	50.91	33.46	11835.57	103.57	133.57	3.48	4.08	5322.03	5527.91	0	4.04	4.04	2.68	2.92	8.08	31.71	19.92	55.65	15.98
gene223	348	466.94	104.41	292	1220	2014.87	97.7	47.17	49.31	28.91	111.19	86.73	91.34	99.47	234.03	191.81	34.33	30.14	7694.89	84.74	75.63	24.23	27.59	5954.4	5862.58	3.96	3.9	8.08	4.04	5.6	12.06	40.18	16.36	30.06	6
gene224	16	215.82	51.17	145.72	1324	841.26	24.26	18.69	21.42	23.01	18.39	10.56	33.43	29.33	102.49	62.64	17.54	19.88	5387	37.78	43.67	0	8.08	3027.63	3227.69	4.04	2.02	6.06	0	2.02	4.03	23.74	9.6	19.5	4
gene225	906	566.3	76.61	451.59	2920.94	3159.95	206.47	138.22	135.91	84.08	196.55	246.96	142.35	218.7	609.29	484.11	234.61	223.86	38853.43	287.14	328.99	92.71	18.54	32424.74	20372.62	13.75	10.18	25.56	24.18	8.02	10	56.57	30.87	61.02	26.97
gene226	645.42	2085.64	329.99	1197.91	3931.6	5511.58	654.12	425.42	399.54	275.58	839.44	846.97	795.6	876.91	2232.58	1816.89	1171.41	1106.97	104657.4	1475.59	1443.53	405.37	235.15	96232.97	79150.74	94.2	88.16	182.27	130.6	65.76	82.41	206.64	121.78	221.21	114.09
gene227	3068.73	7580.5	1577.95	3858.89	16139.54	20985.97	966.94	626.46	567.66	343.11	770.84	894.61	1188.95	924.15	1805.37	1477.63	621.49	432.55	157915.23	985.71	961.53	138.64	68.55	82513.43	73351.74	41.31	23.99	103.64	48.09	41.96	90.7	334.02	149.89	366.21	130.79
gene228	1446.74	2040.44	1574	3786.79	13888.56	15244.89	642.21	477.85	530.81	262.24	650.43	721.57	645.3	846.55	1800.37	1119.4	433.8	301.76	80129.23	547.47	871.38	225.8	109.82	64019.12	54919.74	61.08	62.62	84.23	62.83	43.93	52.5	252.75	144.97	301.55	113.2
gene229	225.33	487.73	153.7	215.03	1527.16	1217.78	143.68	80.68	98.29	31.66	76.21	76.96	82.53	61.98	177.38	144.57	56.46	36.79	15106.54	86.86	89.24	11.48	5.12	8341.91	7490.73	3.99	1.34	2.79	5.75	5.86	4.92	63.48	34.51	69.39	20.14
gene23	2.27	258.19	48.75	89.76	783.75	1083.55	89.89	101.18	84.79	33.59	75.4	82.73	102.42	91.82	217.82	150.76	61.05	28.19	5733.25	42.26	111.01	14.92	10.62	3124.48	2703.76	4.04	2.01	9.41	4.03	0	4.56	36.6	13.31	20.04	5.66
gene230	1043.93	992.26	442.97	1187.33	5623.48	3897.26	320.75	288.41	220.69	163.6	298.08	344.59	226.63	370.48	593.98	446.8	231.71	150.34	58685.95	375.26	644.16	37.94	21.29	30460.12	23156.61	24.86	5.58	19.15	20.25	22.62	21.86	146.82	69.08	125.96	31.15
gene232	121.56	228.85	64.08	272.49	908.65	1286.19	61.47	87.65	37.85	38.51	40.59	47.49	53.36	37.79	127.17	84.45	51.08	27.87	8666.9	71.46	161.55	3.49	5.24	4805.03	9068.54	2	8.05	15.05	1.8	8.5	5.94	31.05	11.56	22.39	6
gene233	522.29	254.93	82.7	336	1885.58	2415.37	134.91	105.73	125.24	41.82	97.18	134.7	84.39	89.48	324.62	207.74	73	65.31	8953.48	73.56	191.22	6.06	16.67	6006.24	5379.09	8.52	2.02	11.94	2.27	8.04	11.56	52.63	18.53	21.43	10
gene234	0	0	0	0	0	0	2.52	13.62	0.55	0	0	0	0.18	0	5.86	5.32	1.88	0	282.38	6.23	9.76	0	0	443.65	127.83	2.02	0	0.58	0	0	0	2	2	2	1.38
gene235	1244.13	1964.53	581	2078.75	4941.41	5041.38	224.96	197.52	149.73	57.88	148.6	216.95	215.34	192.49	530.65	449.37	156.3	120.89	31314.55	234.45	347.45	42.14	22.09	16802.95	13302.57	11.91	15.81	12.12	14.14	22.4	36.56	87.01	42	74.89	41.02
gene236	625.21	925.48	67.4	260.92	2194.08	4114.32	30.28	24.32	32.48	17.1	42.5	80.48	52.76	67.19	140.21	109.21	55.99	36.76	9505.68	72.83	59.19	13.76	4.18	5080.96	4738.19	2.02	4.04	2.45	0	3.16	2.02	18.17	20.37	13.69	4.59
gene237	641.3	323.85	334.01	659.24	1747.23	1822.52	3484.47	775.44	1286.82	285.13	2493.69	2948.74	395.43	2944.63	7156.25	4510.67	1147.72	822.75	23798.06	1467.85	3967.34	120.35	148.46	11888.1	16381.13	65.87	40.28	51.08	62.81	161.86	392.27	106.25	42.13	85.32	39.81
gene238	43.13	117.34	19.15	148.3	1328.56	1105.32	40.5	24.43	21.93	28.01	50.49	69.35	72.7	61.8	150.39	90.82	39.71	29.15	7893.57	39.14	65.85	18.02	1.97	4534.11	4614.31	5.53	0.41	1.94	5	4.44	9.49	14.02	12.69	27.73	11.86
gene239	11.48	309.52	59.46	295.85	1213.21	1006.06	52.01	35	58.1	22.08	53.85	72.81	66.04	75.83	119.93	57.84	52.55	24.47	8205.79	45.64	67.57	13.99	0	4011.49	4674.95	1.83	0	6.05	4.27	3.18	5.67	13.53	7.26	13.59	7.95
gene240	12	1113.65	438	880	3517.62	4486	127.77	93.79	90.64	42.26	105	178.51	151.69	132.02	708.81	593.12	548.22	504.39	189726.29	815.58	865.01	126	97.41	138977.15	55975.78	45.85	42.99	67.58	35.45	40.08	45.93	172.26	102.18	247.55	61.61
gene241	2090	973.3	209.99	245.5	1869.86	2655.26	62.35	32.47	25.9	13.5	74.28	82.48	64	82.73	179.62	99.89	36.61	30.47	9492.24	46.07	68.63	3.99	2.02	8075.99	9986.08	6.06	2.02	12.12	2.02	4.04	9.9	20.68	12	3	14.11
gene242	2012	381.66	711.71	923.38	7389.3	6856.09	356.23	204.85	183.98	94.76	403.61	398.01	568.64	432.56	1115.46	789.63	439.19	376.72	100242.03	705.02	809.1	35.78	39.63	43684.44	30905.4	11.58	16.12	43.25	33.78	33.8	32.54	144.65	97.87	126.07	78.07
gene244	381.51	1100.42	309.8	1327.17	3112.48	4317.12	268.02	159.86	175.09	107.85	315.92	314.15	247.77	290	722.18	489.9	141.37	130.08	25321.87	193.31	256.02	97.91	58.02	27185.38	14620.62	41.21	26.21	31.45	27.97	13.29	43.72	64.43	32.14	24.2	21.13
gene245	0	0	0	0	0	0	9.58	14.71	9.73	10.8	33.04	27.31	15.83	30.81	89.24	34.81	27.93	23.16	0	70.25	68.44	8.75	7.87	0	0	0.03	0	4.52	2.02	2.02	5.78	12.41	3.91	10.31	5.72
gene246	963.77	2087.81	531.96	1112.97	4093.42	5342.36	412.37	334.95	242.67	130.49	285	272.42	393.93	350.2	914.71	573.06	222.42	168.83	42046.44	265.74	589.86	30.79	24.2	23130.81	18576.07	24.11	16.03	29.96	11.85	30.92	47.37	175.34	79.75	106.27	72.55
gene247	0	0	0	0	154.63	0	4.87	2.58	0.44	0	9.66	8.34	6.06	4.07	7.98	0.94	0	2.35	1030.44	0	0.07	0	0	1293.28	485.4	0	0	0.69	0	0	0.68	3.32	3.34	0	0
gene248	0	0	0	0	11.68	14.57	5.44	4.94	1.82	1.67	2.02	2.06	2	0	13.32	2.32	4.21	3.12	672.15	5.61	2.02	0.91	0	758.54	850.25	0	0	0	0	0	0	0	2.26	1.61	0
gene250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene253	701.77	463.05	70	703.77	2406.92	1475.86	117.81	65.61	66.78	47.91	198.24	196.05	183.18	190.11	437.53	308.1	60.36	46.78	8133.87	83.31	79.36	39.53	5.26	7771.75	5698.77	6.06	2.02	12.11	0	6.06	8.07	27.73	17.65	17.42	13.11
gene254	438.94	400.53	252	82.83	2066.52	2908.44	132.63	64.79	79.57	31.09	166.52	138.04	152.83	133.36	377.7	292.12	119.02	78.56	26509	217.7	303.94	26.14	13.19	14970.23	15828.48	21.96	4.4	31.69	14.11	27.68	15.93	59.02	39.81	48.61	38.8
gene256	410	374	71.34	108	1933.18	1642.93	90.97	58.76	63.16	35.81	63.34	84.38	75.71	57.83	169.82	111.71	53.34	31.28	7516.54	83.74	86.46	25.44	13.95	5475.52	5591.66	10.01	1.29	8.08	4.04	2.02	4.04	39.47	14	48.52	23.1
gene257	0	0	0	0	0	0	5.68	1.82	0	3.5	0	0.03	0	0	0.09	0.06	0	0.21	39.38	0	0.91	0	0	0	122.1	0	0	0	0.2	1.19	0	0	0	0	0.45
gene258	2835.96	2234.09	361.99	985.42	4993.61	7544.34	433.56	267.8	218.42	91.75	402.41	318.24	495.83	406.06	981.8	715.47	240.35	169.19	39444.26	314.78	326.73	104.01	33.93	27173.38	16595	20.09	23.49	34.33	16.54	24.11	25.77	150.72	102.05	87.31	57.3
gene26	1810.04	2974.22	571.72	2129.66	7011.96	7943.92	448.63	206.07	179.11	177.27	390.79	408.07	643.14	463.97	1004.43	789.2	359.17	257.32	79969.03	529.26	772.61	122.34	61.95	57665.96	52450.25	25.04	27.31	61.89	17.61	18.35	36.02	222.82	150.18	136.56	102.87
gene260	11.68	669.02	126	387.47	1652.86	1710.93	148.42	110.59	67.69	53.19	108.09	121.91	145.31	131.71	275.39	227.32	99.04	118.22	48420.44	214.23	188.38	14.91	16.13	22955.07	19474.68	10.88	1.72	11.65	3.65	5.39	24.24	78.55	20	63	32.86
gene261	24	1676.21	644	1076.97	6451.21	5218.73	72.83	87.76	68.41	26	159.47	155.23	200.65	177.87	415.57	346.61	94.89	60.96	12257.44	88.35	144.54	91.23	62.14	12642.75	9009.32	17.74	3.93	15.85	6.04	3.99	10.06	31.95	29.53	22	12.47
gene262	21.98	34.05	190.28	692.38	2139.52	2058.46	225.88	125.68	170.88	49.36	197.97	255.8	367.85	206.29	624.82	489.28	116.76	98.47	16386.85	153.03	149.45	19.33	13.31	7808.66	5170.15	0.3	0	30.15	0	12.05	2.85	52.56	31.53	34.4	15.6
gene263	1866.89	6480.87	1553.25	5404.56	15947.14	21849.73	666.94	545.3	407.05	298.15	703.85	753.63	982.07	881.95	1821.91	1469.62	393.49	370.95	99098.79	744.2	1249.17	137.56	94.04	60753.98	66645.29	106.93	55.61	80.45	41.16	63.99	75.83	243.87	160.03	222.1	144.2
gene265	15.18	710.83	150.51	437.44	1606.33	1299.23	252.73	183.22	145.98	73.35	205.59	230.7	249.26	249.17	675.71	520.24	226.87	179.04	32946.2	308.96	377.77	47.79	46.19	18700.01	11761.34	8.97	10.18	4.78	18.26	14.88	29.78	60.52	32.19	58.06	28.23
gene266	906.55	679.6	241.37	637.26	3262.64	1779.09	155.45	142.14	108.93	82	171.18	122.47	227.27	195.61	560.04	365.85	301.33	193.28	89358.66	345.94	492.45	39.37	65.55	45129.44	23127.61	20.23	15.8	27.27	9.8	24.85	27.63	134.37	95.73	78.75	33.52
gene267	6.66	2.59	5.19	43.63	2.42	190.59	4.62	0.52	0	2.45	1.44	1.44	4.34	1.35	11.84	8.53	4.02	2.39	512.32	4.37	0	0	0.7	847.26	407.85	1.48	0.06	0	0	0	0	2.5	2	0.16	1.72
gene269	0	15.62	3.05	174	752.25	243.62	45.73	39.71	12.64	0	12.98	43.43	20.03	24.23	86.18	45.68	35.52	8.45	4478.31	43.39	62.56	4.48	0.18	1971.39	2159.91	2.02	0	2.02	2.02	0.57	2.49	34.36	10	33.35	20.57
gene270	0	0.06	3.54	53.4	143.6	155.22	3.75	19.7	4	0	2.23	6.38	3.35	8.38	16.18	19.45	2.8	0	1654.78	3.91	7.3	3.44	5.42	974.33	1158.01	0	0	0	0	0	2	6	0	8.46	3.8
gene271	508	71.91	36.5	94.05	645.38	649.18	2.88	4.48	2	0	3.54	8.07	13.13	0	38.61	20.74	26.53	10.73	2682.79	9.96	26.26	0	2.51	2953.78	1856.52	6.06	2.02	2.02	0	0	0	10	4	13.62	2.16
gene272	23.55	248.76	86	314	1465.66	1555.93	61.06	56.03	40.57	26.33	61.94	86.4	85.6	109.4	386.78	299.6	78.07	53.43	9476.21	105.79	181.1	42.36	33.98	8389.34	5150.55	8.08	5.98	8.01	4.04	4.04	4.04	31.24	17.73	38.55	10
gene273	26	1198	122	576	2610	2708	237.91	154.45	166.86	108.41	205.7	197.06	307.62	238.48	588.18	403.03	186.7	139.87	28065.21	300.41	284.82	29.59	20.89	10566.99	8471.99	11.98	12.94	31.68	13.7	18.74	31.94	52.12	42	49.81	45
gene275	2	296	0	0	240	86.54	20.84	14.5	7.23	4.16	8.48	6	12.12	19.52	36.67	39.72	57.38	42.38	19934.74	80.35	102.69	15.15	17.08	17588.2	13220.68	4.04	5.24	11.56	6.06	13.53	7.17	17.2	11.37	6.79	7.09
